0,1487353597,1
1,1487353717,0
2,1487353838,0
3,1487353958,0
4,1487354078,0
5,1487354198,0
6,1487354318,1
7,1487354438,0
8,1487354558,0
9,1487354679,0
10,1487354799,0
11,1487354919,0
12,1487355039,1
13,1487355159,0
14,1487355279,0
15,1487355399,0
16,1487355520,0
17,1487355640,2
18,1487355760,0
19,1487355880,0
20,1487356000,2
21,1487356120,0
22,1487356240,2
23,1487356361,0
24,1487356483,0
25,1487356603,0
26,1487356723,0
27,1487356843,0
28,1487356963,0
29,1487357083,0
30,1487357204,0
31,1487357324,1
32,1487357444,0
33,1487357564,0
34,1487357684,0
35,1487357804,1
36,1487357925,0
37,1487358045,1
38,1487358165,2
39,1487358285,0
40,1487358406,0
41,1487358526,1

